n_pares_minmax,n_pares_tau_minmax,persistencia_total_minmax,vida_maxima_minmax,entropia_minmax,n_pares_zscore,n_pares_tau_zscore,persistencia_total_zscore,vida_maxima_zscore,entropia_zscore,n_pares_robust,n_pares_tau_robust,persistencia_total_robust,vida_maxima_robust,entropia_robust,sample
5,4,3.57981915672309,2.095830890052402,1.0456506940844923,5,4,11.896756125329146,5.389737985353323,1.060246630858558,5,4,12.796392430328805,4.7637704835632,1.2798933440053855,69
6,3,3.7762814724217075,2.3173868857180393,0.9191805950855618,5,4,13.51126558065967,7.005829053420117,1.2196951494685315,5,4,14.757748992402654,5.912825480536711,1.3312183151848789,506
4,3,3.41882044496512,1.4790456803567178,1.0095374034787872,5,4,15.643635890748335,6.193875142201197,1.1528537209125704,4,3,13.010415605540974,5.116368784815184,1.0704895341233966,596
5,4,3.368571708714377,1.706260841735482,1.1648394495127357,5,4,6.800840332271207,3.1824679185098783,1.2396591256959844,5,4,6.074043275425476,2.3289663925990776,1.2097960987081189,422
5,4,3.3928368859909552,1.6736722045423336,1.2229823279538614,4,3,6.049878055492747,3.735464500146909,0.9003781418857228,4,3,4.670269010660787,2.3779805064387496,0.9822629157435059,1212
4,3,3.400627195897407,1.771468107701152,0.9835865700679334,5,4,18.62604292848151,9.840905132126853,0.977659074473424,3,2,19.932730405122896,13.382073277606882,0.633210049982504,415
4,3,3.555870049816445,1.9346691800708324,1.0040867856484574,4,2,29.23369683709785,15.678926647416096,0.7097758324242593,3,2,65.15109134694879,33.85968698414524,0.692369994905073,692
5,4,3.898032502640209,1.8053008894870355,1.2369275625995741,5,3,7.728073197595693,3.4381372499849303,1.055803488327521,4,3,7.159549814610374,3.5536574031752313,0.9491263595403058,1290
6,5,6.095737406736168,2.273389192043494,1.40626503012165,5,4,26.606599667327743,9.877473962815879,1.3479915948735566,5,4,24.68919309617325,9.19257698458595,1.3074705767642494,802
5,4,3.8748968212081203,1.9710446030540552,1.167438477385526,5,4,12.546618348457999,4.462478095004164,1.3474082694786278,5,4,9.396632057684366,3.095434719550992,1.3591777607109572,184
4,3,2.800754338920094,1.3809295585303176,1.021179970309177,5,4,13.892893422770875,5.014141732079349,1.3479620420192204,5,4,8.75307194618524,3.9397008327071608,1.24371131471618,1054
5,4,3.9322429131539245,1.9891306099044512,1.2255620237109932,5,4,12.385596205544307,4.439230936912806,1.1990971852870542,5,4,11.01276332871809,3.7528461502172563,1.2803590774303737,859
5,4,3.022636033178901,1.6319314762898798,1.1252277081867768,2,1,5.037201204188472,5.037201204188472,-0.0,2,1,10.574105997556206,10.574105997556206,-0.0,1388
6,4,3.3996131040382647,1.6572480880471538,1.2371059746888964,4,3,5.990399087304592,3.579551183320837,0.9175769231695512,4,3,5.003566881019435,2.830183584717867,0.9825625608571626,1284
5,4,4.2832296461136945,2.1610797439371274,1.2019588786091124,5,4,12.027281720001618,4.932801877633196,1.2724517761031093,5,4,10.227934354650047,3.224196762643107,1.367856705112445,846
5,3,2.528919972860272,1.4398767490520488,1.021926995195426,5,4,4.614419811290926,2.2567677536768107,1.2194264392299625,5,3,2.9638645518703868,1.6242252933980152,1.0751806900110352,722
5,3,3.288141936881416,1.800163946203455,1.0854575328900067,5,3,7.3709129545410015,3.341949685265858,1.0829471364137682,5,3,5.929888644441411,3.282645278946439,1.01212535903346,1035
5,3,2.9479064499363083,1.568611397113181,1.0916280947581423,6,5,10.570954625332659,3.4408949786893586,1.483038240556017,4,3,5.7569174202845925,2.707591281954591,1.0372444162126264,203
5,4,3.2984865937074135,1.6869242077983286,1.14753495918836,5,4,10.091599104403842,3.8923535414479065,1.3405138679018833,5,4,5.948304354715574,1.900817587622847,1.3267004673983143,59
6,5,4.460270912667058,2.0619139889943234,1.3359646366816564,6,5,11.304762444059408,4.433226513820486,1.2846475414209648,6,4,9.713761810661035,4.22403182481883,1.2131544976257516,817
5,3,3.44274229183306,1.867614858049683,0.9109728641538015,6,5,10.11029323195445,5.632540480645956,1.1097601539211501,5,3,7.141327128673721,3.3279887596510145,0.9405749441737001,610
6,4,4.2706396234810935,1.8337152798625547,1.2004525726078201,5,4,11.842603972072673,6.847107410117405,1.1300588691359188,6,4,8.869587189064088,4.386598155122728,1.2305086397192677,1063
5,4,5.2247804632939925,2.589521027341669,1.1450908362315175,5,4,18.62794979428771,8.30219889485172,1.2173627420965276,5,4,16.36057173797247,6.0270791567354145,1.2410906902649192,298
7,5,4.925125970381701,2.59216851202119,1.2663974418842001,5,4,12.543552771931205,6.032305360307723,1.2147904546486996,5,4,11.460313135274445,4.634629572835255,1.289448357590698,1402
4,3,3.1196280536239476,1.928903620323927,0.8715249068723718,5,4,9.309701832164198,4.171697855982522,1.163270421116803,4,3,7.828399874605445,3.8407056246601465,1.0111960919762986,411
6,5,5.469476523903557,2.0396628430675334,1.4699513001250355,6,5,18.43195799903443,7.784997385716542,1.4112649502707872,6,4,13.68487912947462,5.6603809001242364,1.3209702892355404,1026
5,3,2.6422768426129424,1.476843403950275,1.0195902573673972,5,4,6.591012594583981,3.4581716755620637,1.1560164933434878,5,3,3.179494752131705,2.0191360141404537,0.9264473477964195,261
