tipo_ruido,magnitud,dB,dW,norma_inf,n_pares,n_pares_tau,persistencia_total,vida_maxima,entropia,sample
acotado,0.05,0.11110485956884508,0.21817903565257635,0.15683395522838905,4,3,9.586363616550763,5.131129543274335,0.9472952393347502,976
acotado,0.1,0.21375845402183802,0.4920534045744095,0.2859396734063173,4,3,10.374031453686776,5.421331687399347,0.971936460869852,976
acotado,0.2,0.5431398646692713,1.4290508349279873,0.548253354751225,5,4,11.593779050352005,5.502876820543322,1.1081489194637766,976
acotado,0.5,0.7798372167415404,1.8176193851139786,1.2126152231878962,4,3,8.738038955279642,4.505690252285296,0.8419226339259869,976
gaussiano,0.01,0.03691725866043516,0.07681620578187154,0.04131182208447681,5,3,15.956542345350194,6.28963517702228,1.090501544766979,1493
gaussiano,0.05,0.1299976718703335,0.3641681938005845,0.27205160371583526,4,3,16.16130534748723,6.451812520043721,1.0888790242061757,1493
gaussiano,0.1,0.36485573624725065,0.7629574166885782,0.4461697563995093,4,3,16.329984704717095,6.386032014608093,1.0901533331434088,1493
gaussiano,0.2,0.590913897827138,1.2980945821133187,1.0193998510027806,4,3,16.694630480954032,6.144508218273607,1.095717634474331,1493
gaussiano,0.5,1.4231116705431042,2.936534525409793,2.498516059117043,4,3,11.489478081897738,4.8073732602925645,1.0827434794315964,1493
acotado,0.01,0.016443669455317167,0.03971171845882182,0.03839481704709813,4,3,15.926416219392335,6.311845524130144,1.0899299219699303,1493
acotado,0.05,0.11864494260363667,0.291480141689481,0.1416516953616389,4,3,16.15784491116866,6.345345664203005,1.0908685856357594,1493
acotado,0.1,0.19417845165141712,0.33429535067072225,0.3062608961371878,4,3,15.564688481879626,6.402526590014499,1.0852786553375857,1493
acotado,0.2,0.5392060727480483,1.2307978170513243,0.6461600105723972,5,3,16.060841381212885,6.478913553637591,1.081013125243368,1493
acotado,0.5,0.7957532425777856,2.223414590998013,2.0413680451821885,4,3,13.489532799493412,5.547913532374073,1.0843141677241033,1493
gaussiano,0.01,0.044262230377716705,0.13114893947102135,0.04946892275034109,5,4,9.732975557311441,4.097392810565021,1.3055612223051243,706
gaussiano,0.05,0.31394173188992713,0.6996531044416154,0.3175665240976122,5,4,10.31688205879625,4.342291472573559,1.3077301707632305,706
gaussiano,0.1,0.5163921166819376,1.2316458384623026,0.5647326301106741,5,4,7.85374446275097,3.35070573170051,1.2506628366519665,706
